Date,USD
9/15/2010,1329.86
9/16/2010,1334.37
9/17/2010,1338.18
9/20/2010,1336.08
9/21/2010,1332.76
9/22/2010,1327.59
9/23/2010,1324.51
9/24/2010,1325.69
9/27/2010,1327.93
9/28/2010,1328.04
9/29/2010,1328.16
9/30/2010,1325.59
10/1/2010,1323.41
10/4/2010,1320.22
10/5/2010,1317.59
10/6/2010,1315.8
10/7/2010,1312.63
10/8/2010,1315
10/11/2010,1315.8
10/12/2010,1315.63
10/13/2010,1313.82
10/14/2010,1311.44
10/15/2010,1310.8
10/18/2010,1308.68
10/19/2010,1305.22
10/20/2010,1301.88
10/21/2010,1296.98
10/22/2010,1295.36
10/25/2010,1295.03
10/26/2010,1290.92
10/27/2010,1289.26
10/28/2010,1286.52
10/29/2010,1285.47
11/1/2010,1283.38
11/2/2010,1283.22
11/3/2010,1283.48
11/4/2010,1285.7
11/5/2010,1286.41
11/8/2010,1285.65
11/9/2010,1282.95
11/10/2010,1281.83
11/11/2010,1280.46
11/12/2010,1280.68
11/15/2010,1279.07
11/16/2010,1277.62
11/17/2010,1277.07
11/18/2010,1275.78
11/19/2010,1272.91
11/22/2010,1267.88
11/23/2010,1262.45
11/24/2010,1258.38
11/25/2010,1255
11/29/2010,1250.45
11/30/2010,1246.69
12/1/2010,1243.54
12/2/2010,1240.13
12/3/2010,1236.37
12/6/2010,1233.06
12/7/2010,1224.91
12/8/2010,1218.66
12/9/2010,1216.05
12/10/2010,1213.21
12/13/2010,1211.14
12/14/2010,1211.75
12/15/2010,1212.76
12/16/2010,1215.37
12/17/2010,1230.71
12/20/2010,1240.29
12/21/2010,1242.36
12/22/2010,1243.82
12/23/2010,1243.42
12/24/2010,1246.35
12/27/2010,1248
12/28/2010,1250.57
12/29/2010,1255.06
12/30/2010,1256.47
12/31/2010,1257.18
1/3/2011,1257.18
1/4/2011,1259.79
1/5/2011,1267.38
1/6/2011,1274.2
1/7/2011,1282.77
1/10/2011,1279.63
1/11/2011,1277.3
1/12/2011,1274.63
1/13/2011,1253.07
1/14/2011,1251.29
1/17/2011,1244.45
1/18/2011,1244.5
1/19/2011,1242.71
1/20/2011,1243.74
1/21/2011,1244.63
1/24/2011,1247.94
1/25/2011,1252.69
1/26/2011,1249.08
1/27/2011,1247.39
1/28/2011,1245.01
1/31/2011,1245.46
2/1/2011,1246.55
2/2/2011,1248.87
2/7/2011,1251.86
2/8/2011,1252.71
2/9/2011,1256.21
2/10/2011,1259.01
2/11/2011,1258.43
2/14/2011,1257.64
2/15/2011,1255.91
2/16/2011,1253.69
2/17/2011,1250.98
2/18/2011,1249.52
2/21/2011,1251.03
2/22/2011,1252.2
2/23/2011,1253.2
2/24/2011,1253.81
2/25/2011,1255.24
2/28/2011,1254.51
3/1/2011,1255.1
3/2/2011,1252.23
3/3/2011,1251.49
3/4/2011,1251.42
3/7/2011,1249.03
3/8/2011,1249.03
3/9/2011,1247.02
3/10/2011,1242.3
3/11/2011,1239.28
3/14/2011,1238
3/15/2011,1234.41
3/16/2011,1230.63
3/17/2011,1225.98
3/18/2011,1220.92
3/21/2011,1217.89
3/22/2011,1215.27
3/23/2011,1214.43
3/24/2011,1212.29
3/25/2011,1209.51
3/28/2011,1204.68
3/29/2011,1200.04
3/30/2011,1198.12
3/31/2011,1195.27
4/1/2011,1195.32
4/4/2011,1196.2
4/5/2011,1198.68
4/6/2011,1203.17
4/7/2011,1208.55
4/8/2011,1207.97
4/9/2011,1207.97
4/10/2011,1207.97
4/11/2011,1205.09
4/12/2011,1204.22
4/13/2011,1204.52
4/14/2011,1205.89
4/15/2011,1208.94
4/16/2011,1208.94
4/17/2011,1208.94
4/18/2011,1211.9
4/19/2011,1219.51
4/20/2011,1225.52
4/21/2011,1230.42
4/22/2011,1238.15
4/23/2011,1238.15
4/24/2011,1238.15
4/25/2011,1243.09
4/26/2011,1246.97
4/27/2011,1251.46
4/28/2011,1253.88
4/29/2011,1258.47
4/30/2011,1258.47
5/1/2011,1258.47
5/2/2011,1264.53
5/3/2011,1267.25
5/4/2011,1268.31
5/5/2011,1266.63
5/6/2011,1256.08
5/7/2011,1256.08
5/8/2011,1256.08
5/9/2011,1252.63
5/10/2011,1239.52
5/11/2011,1223.69
5/12/2011,1218.74
5/13/2011,1219.85
5/14/2011,1219.85
5/15/2011,1219.85
5/16/2011,1218.5
5/17/2011,1215.2
5/18/2011,1214.34
5/19/2011,1220.74
5/20/2011,1221.44
5/21/2011,1221.44
5/22/2011,1221.44
5/23/2011,1221.05
5/24/2011,1218.76
5/25/2011,1229.31
5/26/2011,1231.04
5/27/2011,1238.07
5/28/2011,1238.07
5/29/2011,1238.07
5/30/2011,1234.5
5/31/2011,1245.35
6/1/2011,1245.35
6/2/2011,1245.33
6/3/2011,1250.15
6/4/2011,1250.15
6/5/2011,1250.15
6/6/2011,1253.69
6/7/2011,1253.45
6/8/2011,1252.99
6/9/2011,1248.36
6/10/2011,1249.32
6/11/2011,1249.32
6/12/2011,1249.32
6/13/2011,1253.63
6/14/2011,1255.33
6/15/2011,1258.37
6/16/2011,1256.72
6/17/2011,1258.37
6/18/2011,1258.37
6/19/2011,1258.37
6/20/2011,1261.39
6/21/2011,1261.3
6/22/2011,1264.64
6/23/2011,1266.57
6/24/2011,1264.68
6/25/2011,1264.68
6/26/2011,1264.68
6/27/2011,1264.92
6/28/2011,1263.9
6/29/2011,1261.35
6/30/2011,1258.64
7/1/2011,1254.29
7/2/2011,1254.29
7/3/2011,1254.29
7/4/2011,1251.97
7/5/2011,1249.1
7/6/2011,1245.61
7/7/2011,1244.25
7/8/2011,1239.23
7/9/2011,1234.45
7/10/2011,1234.71
7/11/2011,1234.71
7/12/2011,1234.71
7/13/2011,1234.71
7/14/2011,1234.71
7/15/2011,1234.71
7/16/2011,1234.71
7/17/2011,1234.71
7/18/2011,1238.51
7/19/2011,1241.4
7/20/2011,1242.64
7/21/2011,1245.65
7/22/2011,1252.35
7/23/2011,1252.35
7/24/2011,1252.35
7/25/2011,1254.72
7/26/2011,1253.95
7/27/2011,1256.54
7/28/2011,1254.04
7/29/2011,1251.25
7/30/2011,1251.25
7/31/2011,1251.25
8/1/2011,1252.9
8/2/2011,1243.01
8/3/2011,1237.53
8/4/2011,1232.61
8/5/2011,1233.88
8/6/2011,1233.88
8/7/2011,1233.88
8/8/2011,1236.68
8/9/2011,1234.04
8/10/2011,1234.76
8/11/2011,1230.97
8/12/2011,1232.13
8/13/2011,1232.13
8/14/2011,1232.13
8/15/2011,1232.7
8/16/2011,1233.69
8/17/2011,1235.86
8/18/2011,1237.12
8/19/2011,1237.78
8/20/2011,1237.78
8/21/2011,1237.78
8/22/2011,1240.54
8/23/2011,1240.69
8/24/2011,1239.66
8/25/2011,1241.31
8/26/2011,1242.83
8/27/2011,1242.83
8/28/2011,1242.83
8/29/2011,1244.9
8/30/2011,1244.28
8/31/2011,1248.67
9/1/2011,1250.46
9/2/2011,1254.81
9/3/2011,1254.81
9/4/2011,1254.81
9/5/2011,1254.8
9/6/2011,1252.7
9/7/2011,1247.49
9/8/2011,1250.49
9/9/2011,1251.34
9/10/2011,1251.34
9/11/2011,1251.34
9/12/2011,1254.47
9/13/2011,1255.94
9/14/2011,1255.04
9/15/2011,1259.08
9/16/2011,1259.87
9/17/2011,1259.87
9/18/2011,1259.87
9/19/2011,1262.84
9/20/2011,1261.9
9/21/2011,1261.86
9/22/2011,1259.73
9/23/2011,1259.36
9/24/2011,1259.36
9/25/2011,1259.36
9/26/2011,1262.96
9/27/2011,1264.44
9/28/2011,1271.46
9/29/2011,1280.83
9/30/2011,1285.64
10/1/2011,1285.64
10/2/2011,1285.64
10/3/2011,1289.23
10/4/2011,1291.71
10/5/2011,1293.66
10/6/2011,1294.6
10/7/2011,1288.02
10/8/2011,1288.02
10/9/2011,1288.02
10/10/2011,1287.59
10/11/2011,1284.31
10/12/2011,1284.07
10/13/2011,1283.49
10/14/2011,1285.81
10/15/2011,1285.81
10/16/2011,1285.81
10/17/2011,1287.35
10/18/2011,1288.78
10/19/2011,1290.68
10/20/2011,1294.16
10/21/2011,1296.42
10/22/2011,1296.42
10/23/2011,1296.42
10/24/2011,1298.33
10/25/2011,1300.49
10/26/2011,1300.27
10/27/2011,1297.08
10/28/2011,1297.08
10/29/2011,1297.08
10/30/2011,1297.08
10/31/2011,1297.67
11/1/2011,1298.58
11/2/2011,1300.32
11/3/2011,1302.16
11/4/2011,1306.03
11/5/2011,1306.03
11/6/2011,1306.03
11/7/2011,1315.34
11/8/2011,1317.95
11/9/2011,1327.84
11/10/2011,1333.74
11/11/2011,1332.02
11/12/2011,1332.02
11/13/2011,1332.02
11/14/2011,1336.37
11/15/2011,1337.11
11/16/2011,1329.8
11/17/2011,1324.86
11/18/2011,1321.38
11/19/2011,1321.38
11/20/2011,1321.38
11/21/2011,1321.04
11/22/2011,1319.66
11/23/2011,1321.79
11/24/2011,1326.66
11/25/2011,1328.05
11/26/2011,1328.05
11/27/2011,1328.05
11/28/2011,1334.5
11/29/2011,1339.24
11/30/2011,1340.9
12/1/2011,1346.48
12/2/2011,1344.48
12/3/2011,1344.48
12/4/2011,1344.48
12/5/2011,1350.31
12/6/2011,1352.1
12/7/2011,1365.55
12/8/2011,1370.7
12/9/2011,1369.7
12/10/2011,1369.7
12/11/2011,1369.7
12/12/2011,1381.46
12/13/2011,1379.98
12/14/2011,1377.24
12/15/2011,1379.23
12/16/2011,1375.45
12/17/2011,1375.45
12/18/2011,1375.45
12/19/2011,1375.56
12/20/2011,1373.8
12/21/2011,1375.63
12/22/2011,1377.55
12/23/2011,1387.28
12/24/2011,1387.28
12/25/2011,1387.28
12/26/2011,1391.01
12/27/2011,1393.37
12/28/2011,1395.05
12/29/2011,1395.05
12/30/2011,1396.37
12/31/2011,1396.37
1/1/2012,1396.37
1/2/2012,1398.19
1/3/2012,1403.87
1/4/2012,1412.25
1/5/2012,1416.82
1/6/2012,1428.57
1/7/2012,1428.57
1/8/2012,1428.57
1/9/2012,1433.53
1/10/2012,1418.98
1/11/2012,1410.54
1/12/2012,1400.05
1/13/2012,1399.42
1/14/2012,1399.42
1/15/2012,1399.42
1/16/2012,1403.96
1/17/2012,1393.13
1/18/2012,1393.19
1/19/2012,1387.41
1/20/2012,1386.19
1/21/2012,1386.19
1/22/2012,1386.19
1/23/2012,1380.92
1/24/2012,1377.11
1/25/2012,1373.12
1/26/2012,1370.92
1/27/2012,1370.33
1/28/2012,1370.33
1/29/2012,1370.33
1/30/2012,1367.83
1/31/2012,1366.3
2/1/2012,1364.48
2/2/2012,1362.69
2/3/2012,1360.1
2/4/2012,1360.1
2/5/2012,1360.1
2/6/2012,1355.65
2/7/2012,1352.77
2/8/2012,1346.25
